group,TotalVaccinations,PeopleVaccinated
Andorra,2526,2526
Anguilla,3929,3929
Argentina,1648957,1301787
Australia,94908,94908
Austria,860142,608045
Azerbaijan,411496,411496
Bahrain,514559,310644
Bangladesh,4013963,4013963
Barbados,49317,49317
Belarus,20944,20944
Belgium,990629,644933
Belize,1466,1466
Bermuda,23939,15294
Bolivia,119080,109210
Brazil,11357494,8504966 
Bulgaria,302151,250507
Cambodia,89506,89506
Canada,2543253,1964221
Cayman Islands,26508,26580
Chile,5089683,4225613
China,52520000,52520000
Costa Rica,204586,151841
Croatia,24200,242000
Czech Republic,902605,629117
Denmark,759160,549062
Dominica,7202,7202
Dominican Republic,480327,480237
Ecuador,75258,69030
El Salvador,1600,16000
Estonia,150080,105845
Faroe Islands,8068,4260
Falkland Islands,1732,1732
Finland,575749,490735
France,5972593,3996329
Germany,8161238,5555420
Gibraltar,44240,28431
Greece,1158386,780536
Greenland,3927,3927
Guatemala,2427,2427
Hong Kong,113500,113500
Hungary,1425697,1107791
Iceland,42027,29317
India,24367906,20004227
Indonesia,4022544,2888757
Iran,10000,10000
Ireland,523069,373149
Israel,8975914,5035562
Italy,5782615,4035099
Japan,107558,107558
Jersey,33511,30191
Kazakhstan,22294,20157
Latvia,86164,68111
Lithuania,316873,228626
Luxembourg,47515,33238
Malyasia,166363,166363
Malta,101776,67595
Mauritius,3843,3843
Mexico,3100868,2495067
Moldova,3849,3849
Montenegro,3062,3062
Morocco,4734200,4017087
Myanmar,103142,103142
Netherlands,1619839,1207904
New Zealand,9431,9431
Norway,606152,396312
Pakistan,72882,72882
Peru,395693,326209
Phillipines,44000,44000
Poland,4086863,2641693
Portugal,1044091,748575
Romania,1870244,1211503
Russia,6694349,5149589
Rwanda,158898,158898
Senegal,68017,68017
Serbia,1750533,1124826
Seychelles,84468,57901
Singapore,611314,392620
Slovakia,569021,373797
South Africa,107054,107054
South Korea,446941,446941
Spain,4848648,3436412
Sweden,986389,669950
Switzerland,948678,616913
Turkey,10222994,7676519
Ukraine,23480,23480
United Kingdom,23773959,22592528
United States,93692598,61088527
Uruguay,122510,122510
Venezuela,12194,12194
Zimbabwe,35761,35761